builtin	shape	params	ok	code	category	recoverable	message
abs	scalar	1	True	-	-	-	
abs	vector	1	False	InvalidOperation	DomainError	True	abs() on arrays requires a Complex array (got DType.Natural); use abs() on individual scalars for Natural/Integer/Real.
abs	symbol	1	True	-	-	-	
acos	scalar	1	True	-	-	-	
acos	vector	1	False	InvalidArgument	TypeMismatch	True	acos(): argument 1 must be a symbolic expression; got Vector.
acos	symbol	1	True	-	-	-	
acosh	scalar	1	True	-	-	-	
acosh	vector	1	False	InvalidArgument	TypeMismatch	True	acosh(): argument 1 must be a symbolic expression; got Vector.
acosh	symbol	1	True	-	-	-	
and	scalar	2	True	-	-	-	
and	vector	2	False	InvalidArgument	TypeMismatch	True	and(): argument 1 must be a symbolic expression; got Vector.
and	symbol	2	True	-	-	-	
apart	scalar	2	False	InvalidArgument	TypeMismatch	True	apart(): argument 2 must be a symbolic variable; got Natural.
apart	vector	2	False	InvalidArgument	TypeMismatch	True	apart(): argument 1 must be a symbolic expression; got Vector.
apart	symbol	2	True	-	-	-	
append	scalar	2	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Natural.Natural' to type 'Lovelace.Abstractions.ArrayValue'.
append	vector	2	True	-	-	-	
append	symbol	2	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Symbolics.SymbolExpr' to type 'Lovelace.Abstractions.ArrayValue'.
asin	scalar	1	True	-	-	-	
asin	vector	1	False	InvalidArgument	TypeMismatch	True	asin(): argument 1 must be a symbolic expression; got Vector.
asin	symbol	1	True	-	-	-	
asinh	scalar	1	True	-	-	-	
asinh	vector	1	False	InvalidArgument	TypeMismatch	True	asinh(): argument 1 must be a symbolic expression; got Vector.
asinh	symbol	1	True	-	-	-	
assume	scalar	1	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Natural.Natural' to type 'Lovelace.Symbolics.Expr'.
assume	vector	1	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Abstractions.PayloadArray' to type 'Lovelace.Symbolics.Expr'.
assume	symbol	1	False	InvalidOperation	DomainError	True	assume() accepts relations and their conjunctions/negations with constant bounds.
assume_clear	-	0	(no position)				
assume_integer	scalar	1	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Natural.Natural' to type 'System.String'.
assume_integer	vector	1	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Abstractions.PayloadArray' to type 'System.String'.
assume_integer	symbol	1	True	-	-	-	
assume_negative	scalar	1	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Natural.Natural' to type 'System.String'.
assume_negative	vector	1	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Abstractions.PayloadArray' to type 'System.String'.
assume_negative	symbol	1	True	-	-	-	
assume_nonnegative	scalar	1	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Natural.Natural' to type 'System.String'.
assume_nonnegative	vector	1	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Abstractions.PayloadArray' to type 'System.String'.
assume_nonnegative	symbol	1	True	-	-	-	
assume_positive	scalar	1	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Natural.Natural' to type 'System.String'.
