builtin	shape	ok	code	category	recoverable	message
abs	record	False	InvalidOperation	DomainError	True	abs() is not supported for values of kind 'Record'.
abs	matrix	False	InvalidOperation	DomainError	True	abs() on arrays requires a Complex array (got DType.Natural); use abs() on individual scalars for Natural/Integer/Real.
abs	text	False	InvalidOperation	DomainError	True	abs() is not supported for values of kind 'Text'.
abs	bool	False	InvalidOperation	DomainError	True	abs() is not supported for values of kind 'Boolean'.
abs	empty	False	InvalidOperation	DomainError	True	abs() on arrays requires a Complex array (got DType.Natural); use abs() on individual scalars for Natural/Integer/Real.
acos	record	False	InvalidOperation	DomainError	True	acos(): argument 1 must be a symbolic expression; got Record.
acos	matrix	False	InvalidOperation	DomainError	True	acos(): argument 1 must be a symbolic expression; got Vector.
acos	empty	False	InvalidOperation	DomainError	True	acos(): argument 1 must be a symbolic expression; got Vector.
acosh	record	False	InvalidOperation	DomainError	True	acosh(): argument 1 must be a symbolic expression; got Record.
acosh	matrix	False	InvalidOperation	DomainError	True	acosh(): argument 1 must be a symbolic expression; got Vector.
acosh	empty	False	InvalidOperation	DomainError	True	acosh(): argument 1 must be a symbolic expression; got Vector.
and	record	False	InvalidOperation	DomainError	True	and(): argument 1 must be a symbolic expression; got Record.
and	matrix	False	InvalidOperation	DomainError	True	and(): argument 1 must be a symbolic expression; got Vector.
and	empty	False	InvalidOperation	DomainError	True	and(): argument 1 must be a symbolic expression; got Vector.
apart	record	False	InvalidOperation	DomainError	True	apart(): argument 1 must be a symbolic expression; got Record.
apart	matrix	False	InvalidOperation	DomainError	True	apart(): argument 1 must be a symbolic expression; got Vector.
apart	bool	False	InvalidOperation	DomainError	True	apart(): argument 2 must be a symbolic variable; got Symbolic.
apart	empty	False	InvalidOperation	DomainError	True	apart(): argument 1 must be a symbolic expression; got Vector.
append	record	False	InvalidArgument	TypeMismatch	True	append(): argument 1 must be an array or vector; got Record.
append	matrix	False	InvalidOperation	DomainError	True	append() expects two vectors.
append	text	False	InvalidArgument	TypeMismatch	True	append(): argument 1 must be an array or vector; got Text.
append	bool	False	InvalidArgument	TypeMismatch	True	append(): argument 1 must be an array or vector; got Boolean.
asin	record	False	InvalidOperation	DomainError	True	asin(): argument 1 must be a symbolic expression; got Record.
asin	matrix	False	InvalidOperation	DomainError	True	asin(): argument 1 must be a symbolic expression; got Vector.
asin	empty	False	InvalidOperation	DomainError	True	asin(): argument 1 must be a symbolic expression; got Vector.
asinh	record	False	InvalidOperation	DomainError	True	asinh(): argument 1 must be a symbolic expression; got Record.
asinh	matrix	False	InvalidOperation	DomainError	True	asinh(): argument 1 must be a symbolic expression; got Vector.
asinh	empty	False	InvalidOperation	DomainError	True	asinh(): argument 1 must be a symbolic expression; got Vector.
assume	record	False	InvalidArgument	TypeMismatch	True	assume(): argument 1 must be a relation such as x > 5; got Record.
assume	matrix	False	InvalidArgument	TypeMismatch	True	assume(): argument 1 must be a relation such as x > 5; got Vector.
assume	text	False	InvalidArgument	TypeMismatch	True	assume(): argument 1 must be a relation such as x > 5; got Text.
assume	bool	False	InvalidOperation	DomainError	True	assume() accepts relations and their conjunctions/negations with constant bounds.
assume	empty	False	InvalidArgument	TypeMismatch	True	assume(): argument 1 must be a relation such as x > 5; got Vector.
assume_integer	record	False	InvalidArgument	TypeMismatch	True	assume_integer(): argument 1 must be a symbolic expression or the text name of one; got Record.
assume_integer	matrix	False	InvalidArgument	TypeMismatch	True	assume_integer(): argument 1 must be a symbolic expression or the text name of one; got Vector.
assume_integer	bool	False	InvalidArgument	TypeMismatch	True	assume_integer(): argument 1 must be a symbolic expression or the text name of one; got Symbolic.
assume_integer	empty	False	InvalidArgument	TypeMismatch	True	assume_integer(): argument 1 must be a symbolic expression or the text name of one; got Vector.
assume_negative	record	False	InvalidArgument	TypeMismatch	True	assume_negative(): argument 1 must be a symbolic expression or the text name of one; got Record.
assume_negative	matrix	False	InvalidArgument	TypeMismatch	True	assume_negative(): argument 1 must be a symbolic expression or the text name of one; got Vector.
assume_negative	empty	False	InvalidArgument	TypeMismatch	True	assume_negative(): argument 1 must be a symbolic expression or the text name of one; got Vector.
assume_nonnegative	record	False	InvalidArgument	TypeMismatch	True	assume_nonnegative(): argument 1 must be a symbolic expression or the text name of one; got Record.
assume_nonnegative	matrix	False	InvalidArgument	TypeMismatch	True	assume_nonnegative(): argument 1 must be a symbolic expression or the text name of one; got Vector.
assume_nonnegative	empty	False	InvalidArgument	TypeMismatch	True	assume_nonnegative(): argument 1 must be a symbolic expression or the text name of one; got Vector.
assume_positive	record	False	InvalidArgument	TypeMismatch	True	assume_positive(): argument 1 must be a symbolic expression or the text name of one; got Record.
assume_positive	matrix	False	InvalidArgument	TypeMismatch	True	assume_positive(): argument 1 must be a symbolic expression or the text name of one; got Vector.
assume_positive	empty	False	InvalidArgument	TypeMismatch	True	assume_positive(): argument 1 must be a symbolic expression or the text name of one; got Vector.
assume_real	record	False	InvalidArgument	TypeMismatch	True	assume_real(): argument 1 must be a symbolic expression or the text name of one; got Record.
assume_real	matrix	False	InvalidArgument	TypeMismatch	True	assume_real(): argument 1 must be a symbolic expression or the text name of one; got Vector.
assume_real	bool	False	InvalidArgument	TypeMismatch	True	assume_real(): argument 1 must be a symbolic expression or the text name of one; got Symbolic.
assume_real	empty	False	InvalidArgument	TypeMismatch	True	assume_real(): argument 1 must be a symbolic expression or the text name of one; got Vector.
atan	record	False	InvalidOperation	DomainError	True	atan(): argument 1 must be a symbolic expression; got Record.
atan	matrix	False	InvalidOperation	DomainError	True	atan(): argument 1 must be a symbolic expression; got Vector.
atan	empty	False	InvalidOperation	DomainError	True	atan(): argument 1 must be a symbolic expression; got Vector.
atanh	record	False	InvalidOperation	DomainError	True	atanh(): argument 1 must be a symbolic expression; got Record.
atanh	matrix	False	InvalidOperation	DomainError	True	atanh(): argument 1 must be a symbolic expression; got Vector.
atanh	empty	False	InvalidOperation	DomainError	True	atanh(): argument 1 must be a symbolic expression; got Vector.
cancel	record	False	InvalidOperation	DomainError	True	cancel(): argument 1 must be a symbolic expression; got Record.
cancel	matrix	False	InvalidOperation	DomainError	True	cancel(): argument 1 must be a symbolic expression; got Vector.
cancel	empty	False	InvalidOperation	DomainError	True	cancel(): argument 1 must be a symbolic expression; got Vector.
cancel_full	record	False	InvalidOperation	DomainError	True	cancel_full(): argument 1 must be a symbolic expression; got Record.
cancel_full	matrix	False	InvalidOperation	DomainError	True	cancel_full(): argument 1 must be a symbolic expression; got Vector.
cancel_full	empty	False	InvalidOperation	DomainError	True	cancel_full(): argument 1 must be a symbolic expression; got Vector.
collect	record	False	InvalidOperation	DomainError	True	collect(): argument 1 must be a symbolic expression; got Record.
collect	matrix	False	InvalidOperation	DomainError	True	collect(): argument 1 must be a symbolic expression; got Vector.
collect	bool	False	InvalidOperation	DomainError	True	collect(): argument 2 must be a symbolic variable; got Symbolic.
collect	empty	False	InvalidOperation	DomainError	True	collect(): argument 1 must be a symbolic expression; got Vector.
compile	record	False	InvalidOperation	DomainError	True	Expected a symbolic expression.
